Month,Hour,wind,pv
10,11,10.97640346,33.4545648
10,12,4.762967184,14.9332104
10,13,1.684379952,1.780422636
10,14,1.752048,0
10,15,1.965876336,0
10,16,2.560259664,0
10,17,3.439853568,0
10,18,3.966279552,0
10,19,4.674493296,0
10,20,5.609983536,0
10,21,6.887829168,0
10,22,7.472896848,0
10,23,9.147052656,0
10,0,11.853054,0
10,1,15.04614398,0.045857175
10,2,20.1309637,7.17397969
10,3,23.43907238,19.16687379
10,4,38.4609577,31.66407232
10,5,60.75,48.18838723
10,6,72.354222,61.02142771
10,7,71.53820467,64.21619901
10,8,68.07299602,60.62816346
10,9,65.22981581,54.84505075
10,10,57.64543963,43.95831341
10,11,45.4782587,30.68440775
10,12,31.73023642,15.75047224
10,13,22.42380557,2.21504827
10,14,19.21432766,0
10,15,17.57144678,0
10,16,16.12514419,0
10,17,13.83435533,0
10,18,14.38521754,0
10,19,13.03471426,0
10,20,10.07057203,0
10,21,11.5290707,0
10,22,10.36674662,0
10,23,9.424919088,0
10,0,8.281793664,0
10,1,7.235050896,0.05310759
10,2,7.654662144,9.810308164
10,3,9.780092928,31.54456595
10,4,13.564278,54.47586053
10,5,18.21686515,69.81947206
10,6,19.32735283,79.41771114
10,7,18,80.19559991
10,8,16.73485517,75.2694652
10,9,15.23862965,64.56319196
10,10,12.94781645,44.22545334
10,11,9.495254016,28.47774273
10,12,4.762967184,12.57659399
10,13,2.530944,1.521886372
10,14,2.865961584,0
10,15,2.99475,0
10,16,2.929884048,0
10,17,2.740919472,0
10,18,2.387718,0
10,19,1.596897648,0
10,20,1.391557968,0
10,21,1.411249536,0
10,22,1.240578,0
10,23,1.169366544,0
10,0,1.169366544,0
10,1,1.134806256,0.035000853
10,2,1.258821504,7.026199179
10,3,3.195077904,24.203927
10,4,4.807619712,44.80240884
10,5,8.411194368,68.93143579
10,6,10.82180851,93.34175738
10,7,12.689442,113.5940873
10,8,15.23862965,127.9809587
10,9,17.89221586,126.5521771
10,10,20.247552,103.748321
10,11,20.48207731,63.35134498
10,12,13.20967454,28.81057066
10,13,5.810919408,3.418516196
10,14,5.609983536,0
10,15,4.852550448,0
10,16,3.548472624,0
10,17,3.127340016,0
10,18,2.740919472,0
10,19,2.472985728,0
10,20,2.501852976,0
10,21,2.530944,0
10,22,2.091856896,0
10,23,1.662217344,0
10,0,1.575510912,0
10,1,1.729294416,0.0570311
10,2,4.125976704,12.29902965
10,3,7.533161856,39.86658181
10,4,13.92517138,67.16862331
10,5,20.247552,92.78094437
10,6,24.48453082,114.8885369
10,7,26.94949171,121.7950625
10,8,27.95105362,117.8926899
10,9,27.23316826,101.8025349
10,10,24.7506647,74.52344327
10,11,19.21432766,48.62460634
10,12,9.010191312,21.57406074
10,13,2.472985728,2.201362912
10,14,2.169968112,0
10,15,2.501852976,0
10,16,2.679786,0
10,17,3.161088,0
10,18,3.368686464,0
10,19,3.263786928,0
10,20,3.696822,0
10,21,4.500846,0
10,22,4.807619712,0
10,23,4.331553264,0
10,0,3.622141008,0
10,1,3.027538944,0.022120446
10,2,3.263786928,5.789400507
10,3,5.035072752,20.2560928
10,4,4.543847424,35.6230263
10,5,5.222115504,51.13409409
10,6,5.035072752,69.58271674
10,7,3.622141008,83.29485787
10,8,2.277108144,83.52856995
10,9,1.491873408,73.60217659
10,10,1.372050432,57.18103814
10,11,1.64025,39.91812048
10,12,1.295843328,19.87768695
10,13,0.926619264,2.561598736
10,14,1.100933712,0
10,15,1.258821504,0
10,16,1.314623376,0
10,17,1.240578,0
10,18,1.152,0
10,19,1.100933712,0
10,20,1.117784448,0
10,21,1.204621488,0
10,22,1.295843328,0
10,23,1.411249536,0
10,0,1.533312,0
10,1,1.618477056,0.056311968
10,2,3.622141008,13.86849986
10,3,5.913162,45.28474794
10,4,7.654662144,76.9123214
10,5,7.964113104,106.3287906
10,6,7.533161856,122.730291
10,7,6.831061632,127.3064088
10,8,6.551898192,125.1677114
10,9,6.334124688,110.0572303
10,10,6.388108416,85.00184417
10,11,5.913162,55.85522557
10,12,3.404146032,23.75265239
10,13,1.491873408,2.9376362
10,14,1.431126,0
10,15,1.596897648,0
10,16,1.916935632,0
10,17,2.223107856,0
10,18,2.415919104,0
10,19,2.387718,0
10,20,2.117682,0
10,21,1.941303168,0
10,22,1.684379952,0
10,23,1.512498096,0
10,0,1.533312,0
10,1,1.662217344,0.06613248
10,2,4.543847424,15.71302044
10,3,9.010191312,54.82770311
10,4,12.266496,98.17973856
10,5,13.83435533,136.2227434
10,6,13.92517138,161.0129469
10,7,13.20967454,172.3856111
10,8,13.122,169.4934406
10,9,13.6539095,150.5559291
10,10,14.20000243,115.6396804
10,11,13.6539095,78.17159527
10,12,7.964113104,30.43310022
10,13,3.548472624,3.43856832
10,14,4.005810288,0
10,15,4.125976704,0
10,16,3.927009744,0
10,17,3.849249456,0
10,18,4.289904,0
10,19,4.718592,0
10,20,4.543847424,0
10,21,4.005810288,0
10,22,3.333474,0
10,23,2.771831808,0
10,0,2.802975696,0
10,1,3.127340016,0.061025529
10,2,7.353332784,17.99758834
10,3,15.23862965,62.60208324
10,4,27.66240475,107.2353977
10,5,28.38778099,144.1344211
10,6,24.48453082,168.3965131
10,7,20.1309637,175.2332983
10,8,16.941456,167.3701604
10,9,15.43275,144.0880553
10,10,15.43275,114.5930836
10,11,16.12514419,77.31922578
10,12,10.292166,31.33565964
10,13,5.659776,3.70768718
10,14,6.174,0
10,15,6.174,0
10,16,5.861892096,0
10,17,5.560483968,0
10,18,5.609983536,0
10,19,5.174928,0
10,20,5.128025616,0
10,21,5.317349328,0
10,22,5.081407488,0
10,23,5.659776,0
10,0,6.442398,0
10,1,7.060017024,0.048753785
10,2,11.853054,15.4047922
10,3,16.32670618,54.01109305
10,4,38.82040358,92.68943619
10,5,54.64849306,121.1135591
10,6,57.41110886,150.2226308
10,7,53.747712,150.9568707
10,8,52.41518554,148.0234858
10,9,51.32171938,123.3758428
10,10,49.60398254,95.77037088
10,11,43.50408638,62.3262792
10,12,26.24893387,24.91373761
10,13,15.72701069,2.639911878
10,14,13.03471426,0
10,15,12.01729723,0
10,16,11.93498726,0
10,17,11.5290707,0
10,18,12.6040873,0
10,19,10.668672,0
10,20,8.281793664,0
10,21,6.388108416,0
10,22,5.560483968,0
10,23,5.413734,0
10,0,5.222115504,0
10,1,5.128025616,0.034594035
10,2,7.901568,12.0229083
10,3,11.77149658,42.44917122
10,4,24.22031155,78.26616626
10,5,42.15671194,110.0561611
10,6,53.30105741,129.509457
10,7,56.48013619,129.9816363
10,8,56.018448,120.0069027
10,9,50.24356762,94.73534845
